Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
10910,classifier.3,"(2213, 2585)",24,12630,12617,13,0
10911,classifier.3,"(1440, 2152)",12,12630,12630,0,0
10912,classifier.3,"(2276, 51)",9,12630,12630,0,0
10913,classifier.3,"(4039, 3659)",4,12630,12630,0,0
10914,classifier.3,"(2906, 3690)",14,12630,12630,0,0
10915,classifier.3,"(3391, 2714)",0,12630,12630,0,0
10916,classifier.3,"(3642, 481)",20,12630,12516,114,0
10917,classifier.3,"(899, 1278)",22,12630,9937,2693,0
10918,classifier.3,"(726, 971)",1,12630,12630,0,0
10919,classifier.3,"(1568, 734)",27,12630,12630,0,0
10920,classifier.3,"(3710, 1069)",1,12630,12630,0,0
10921,classifier.3,"(3906, 2909)",6,12630,12630,0,0
10922,classifier.3,"(2243, 2275)",23,12630,11914,716,0
10923,classifier.3,"(3393, 3519)",4,12630,12630,0,0
10924,classifier.3,"(3343, 3296)",29,12630,12630,0,0
10925,classifier.3,"(3083, 78)",5,12630,12630,0,0
10926,classifier.3,"(2727, 447)",17,12630,12630,0,0
10927,classifier.3,"(1921, 2229)",0,12630,12630,0,0
10928,classifier.3,"(664, 8)",11,12630,12630,0,0
10929,classifier.3,"(3212, 3047)",21,12630,12630,0,0
10930,classifier.3,"(3715, 3100)",19,12630,12630,0,0
10931,classifier.3,"(3780, 3032)",26,12630,12630,0,0
10932,classifier.3,"(3234, 2971)",29,12630,12630,0,0
10933,classifier.3,"(1577, 1140)",30,12630,12630,0,0
10934,classifier.3,"(3929, 2464)",5,12630,12630,0,0
10935,classifier.3,"(480, 2765)",0,12630,12630,0,0
10936,classifier.3,"(3548, 2657)",1,12630,12630,0,0
10937,classifier.3,"(1244, 1976)",15,12630,12172,458,0
10938,classifier.3,"(446, 2432)",27,12630,12630,0,0
10939,classifier.3,"(1522, 960)",19,12630,12630,0,0
10940,classifier.3,"(3975, 191)",26,12630,10160,2470,0
10941,classifier.3,"(800, 3073)",21,12630,12627,3,0
10942,classifier.3,"(1804, 3791)",14,12630,12630,0,0
10943,classifier.3,"(103, 2637)",13,12630,12630,0,0
10944,classifier.3,"(2427, 1350)",0,12630,12630,0,0
