Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1,"(3, 0, 2, 1)",15,10000,0,9999,1
1,conv1,"(7, 0, 2, 0)",5,10000,10000,0,0
2,conv1,"(13, 0, 0, 0)",13,10000,0,9999,1
3,conv1,"(7, 2, 2, 0)",12,10000,10000,0,0
4,conv1,"(13, 0, 1, 2)",17,10000,0,9998,2
5,conv1,"(0, 0, 2, 1)",21,10000,0,9963,37
6,conv1,"(8, 0, 0, 1)",6,10000,618,9382,0
7,conv1,"(2, 1, 0, 1)",22,10000,10000,0,0
8,conv1,"(8, 0, 2, 1)",7,10000,840,9160,0
9,conv1,"(12, 0, 2, 1)",23,10000,10000,0,0
10,conv1,"(6, 2, 0, 0)",14,10000,0,10000,0
11,conv1,"(9, 0, 0, 0)",24,10000,0,9967,33
12,conv1,"(8, 1, 2, 1)",10,10000,591,9409,0
13,conv1,"(11, 1, 0, 2)",17,10000,0,9996,4
14,conv1,"(2, 2, 2, 0)",15,10000,10000,0,0
15,conv1,"(5, 1, 1, 1)",14,10000,71,9929,0
16,layer1.0.conv1,"(10, 1, 0, 0)",20,10000,253,9746,1
17,layer1.0.conv1,"(12, 8, 0, 0)",20,10000,584,9416,0
18,layer1.0.conv1,"(6, 15, 1, 2)",29,10000,6,9986,8
19,layer1.0.conv1,"(4, 8, 0, 0)",16,10000,844,9156,0
20,layer1.0.conv1,"(13, 12, 1, 0)",8,10000,10000,0,0
21,layer1.0.conv1,"(15, 2, 0, 0)",9,10000,10000,0,0
22,layer1.0.conv1,"(5, 13, 2, 0)",24,10000,0,9917,83
23,layer1.0.conv1,"(12, 14, 2, 1)",0,10000,129,9870,1
24,layer1.0.conv1,"(3, 8, 2, 1)",7,10000,4991,5009,0
25,layer1.0.conv1,"(9, 13, 0, 1)",0,10000,1351,8648,1
26,layer1.0.conv1,"(8, 5, 2, 0)",19,10000,91,9907,2
27,layer1.0.conv1,"(6, 4, 1, 0)",0,10000,938,9062,0
28,layer1.0.conv1,"(10, 15, 0, 0)",23,10000,289,9703,8
29,layer1.0.conv1,"(9, 7, 0, 0)",5,10000,10000,0,0
30,layer1.0.conv1,"(2, 15, 0, 2)",8,10000,0,10000,0
31,layer1.0.conv1,"(4, 15, 2, 0)",16,10000,0,9999,1
32,layer1.0.conv1,"(13, 6, 2, 2)",12,10000,1,9999,0
33,layer1.0.conv1,"(9, 12, 2, 2)",23,10000,10000,0,0
34,layer1.0.conv1,"(14, 14, 0, 0)",14,10000,0,10000,0
35,layer1.0.conv1,"(2, 10, 0, 2)",14,10000,0,10000,0
36,layer1.0.conv1,"(7, 0, 0, 2)",3,10000,2,9998,0
37,layer1.0.conv1,"(7, 2, 0, 1)",4,10000,10000,0,0
38,layer1.0.conv1,"(7, 8, 2, 1)",13,10000,651,9349,0
39,layer1.0.conv1,"(4, 15, 0, 1)",26,10000,0,9988,12
40,layer1.0.conv1,"(6, 3, 0, 2)",27,10000,35,9964,1
41,layer1.0.conv1,"(11, 13, 1, 1)",3,10000,0,10000,0
42,layer1.0.conv1,"(3, 1, 1, 2)",21,10000,693,9307,0
43,layer1.0.conv1,"(3, 7, 0, 0)",28,10000,10000,0,0
44,layer1.0.conv1,"(4, 13, 0, 1)",29,10000,0,9992,8
45,layer1.0.conv1,"(7, 2, 1, 2)",6,10000,10000,0,0
46,layer1.0.conv1,"(1, 0, 0, 0)",10,10000,0,10000,0
47,layer1.0.conv1,"(13, 15, 1, 0)",25,10000,1,9992,7
48,layer1.0.conv1,"(1, 5, 1, 0)",24,10000,79,9917,4
49,layer1.0.conv1,"(8, 14, 1, 1)",31,10000,0,9992,8
50,layer1.0.conv1,"(4, 6, 1, 0)",3,10000,1,9999,0
51,layer1.0.conv1,"(1, 10, 0, 0)",30,10000,0,1011,8989
52,layer1.0.conv1,"(5, 1, 2, 0)",11,10000,0,9999,1
53,layer1.0.conv1,"(2, 2, 2, 0)",25,10000,10000,0,0
54,layer1.0.conv1,"(3, 7, 2, 2)",2,10000,10000,0,0
55,layer1.0.conv1,"(2, 13, 2, 2)",20,10000,0,9996,4
56,layer1.0.conv1,"(8, 6, 2, 2)",20,10000,0,10000,0
57,layer1.0.conv1,"(7, 8, 1, 0)",19,10000,569,9430,1
58,layer1.0.conv1,"(14, 10, 0, 0)",29,10000,0,9973,27
59,layer1.0.conv1,"(3, 2, 2, 0)",16,10000,10000,0,0
60,layer1.0.conv1,"(4, 11, 0, 0)",23,10000,0,9983,17
61,layer1.0.conv1,"(9, 5, 1, 2)",19,10000,154,9846,0
62,layer1.0.conv1,"(0, 9, 2, 0)",8,10000,47,9953,0
63,layer1.0.conv1,"(8, 3, 0, 2)",9,10000,1,9998,1
64,layer1.0.conv1,"(8, 9, 2, 0)",21,10000,0,9999,1
65,layer1.0.conv1,"(6, 8, 2, 1)",16,10000,3439,6561,0
66,layer1.0.conv1,"(1, 2, 2, 1)",17,10000,10000,0,0
67,layer1.0.conv1,"(1, 0, 1, 0)",16,10000,0,9999,1
68,layer1.0.conv1,"(5, 14, 2, 2)",27,10000,0,9975,25
69,layer1.0.conv1,"(0, 3, 0, 2)",9,10000,4,9995,1
70,layer1.0.conv1,"(1, 11, 2, 2)",9,10000,0,9999,1
71,layer1.0.conv1,"(13, 4, 0, 1)",23,10000,53,9943,4
