Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
64,conv2_x.0.residual_function.3,"(34, 36, 2, 0)",21,10000,196,9803,1
65,conv2_x.0.residual_function.3,"(26, 33, 2, 1)",16,10000,33,9966,1
66,conv2_x.0.residual_function.3,"(6, 11, 2, 1)",17,10000,0,10000,0
67,conv2_x.0.residual_function.3,"(5, 0, 1, 0)",16,10000,0,10000,0
68,conv2_x.0.residual_function.3,"(20, 56, 2, 2)",27,10000,2163,7836,1
69,conv2_x.0.residual_function.3,"(1, 14, 0, 2)",9,10000,10000,0,0
70,conv2_x.0.residual_function.3,"(4, 47, 2, 2)",9,10000,10000,0,0
71,conv2_x.0.residual_function.3,"(55, 16, 0, 1)",23,10000,7,9992,1
72,conv2_x.0.residual_function.3,"(5, 45, 0, 2)",15,10000,0,9998,2
73,conv2_x.0.residual_function.3,"(13, 45, 2, 1)",9,10000,10000,0,0
74,conv2_x.0.residual_function.3,"(30, 20, 0, 1)",1,10000,10000,0,0
75,conv2_x.0.residual_function.3,"(22, 42, 1, 2)",15,10000,10000,0,0
76,conv2_x.0.residual_function.3,"(34, 20, 2, 0)",24,10000,0,9989,11
77,conv2_x.0.residual_function.3,"(4, 60, 0, 0)",29,10000,6142,3858,0
78,conv2_x.0.residual_function.3,"(44, 39, 0, 0)",1,10000,10000,0,0
79,conv2_x.0.residual_function.3,"(24, 51, 1, 1)",4,10000,10000,0,0
80,conv2_x.0.residual_function.3,"(35, 44, 2, 2)",25,10000,0,9988,12
81,conv2_x.0.residual_function.3,"(42, 3, 0, 1)",11,10000,10000,0,0
82,conv2_x.0.residual_function.3,"(33, 4, 0, 2)",27,10000,48,9950,2
83,conv2_x.0.residual_function.3,"(44, 40, 1, 2)",7,10000,10000,0,0
84,conv2_x.0.residual_function.3,"(49, 24, 1, 0)",27,10000,10000,0,0
85,conv2_x.0.residual_function.3,"(0, 25, 1, 1)",4,10000,10000,0,0
86,conv2_x.0.residual_function.3,"(42, 40, 2, 0)",19,10000,81,9916,3
87,conv2_x.0.residual_function.3,"(39, 52, 1, 1)",18,10000,249,9748,3
88,conv2_x.0.residual_function.3,"(16, 24, 1, 2)",24,10000,10000,0,0
89,conv2_x.0.residual_function.3,"(22, 38, 1, 2)",0,10000,10000,0,0
90,conv2_x.0.residual_function.3,"(38, 36, 0, 1)",20,10000,209,9790,1
91,conv2_x.0.residual_function.3,"(59, 56, 1, 2)",13,10000,5430,4570,0
92,conv2_x.0.residual_function.3,"(60, 21, 2, 0)",18,10000,6548,3452,0
93,conv2_x.0.residual_function.3,"(42, 11, 0, 2)",19,10000,0,9999,1
94,conv2_x.0.residual_function.3,"(28, 25, 0, 0)",2,10000,10000,0,0
95,conv2_x.0.residual_function.3,"(31, 60, 2, 0)",29,10000,4542,5458,0
96,conv2_x.0.residual_function.3,"(53, 24, 2, 2)",24,10000,10000,0,0
97,conv2_x.0.residual_function.3,"(63, 51, 0, 0)",0,10000,10000,0,0
98,conv2_x.0.residual_function.3,"(13, 54, 0, 0)",29,10000,2,9996,2
99,conv2_x.0.residual_function.3,"(6, 31, 0, 1)",8,10000,10000,0,0
100,conv2_x.0.residual_function.3,"(59, 40, 1, 2)",27,10000,33,9967,0
101,conv2_x.0.residual_function.3,"(57, 20, 2, 1)",28,10000,0,10000,0
102,conv2_x.0.residual_function.3,"(33, 31, 2, 1)",31,10000,0,9997,3
103,conv2_x.0.residual_function.3,"(30, 35, 1, 0)",18,10000,134,9864,2
104,conv2_x.0.residual_function.3,"(30, 34, 1, 1)",5,10000,10000,0,0
105,conv2_x.0.residual_function.3,"(17, 19, 0, 1)",9,10000,10000,0,0
106,conv2_x.0.residual_function.3,"(27, 8, 1, 1)",21,10000,5,9993,2
107,conv2_x.0.residual_function.3,"(59, 53, 0, 0)",26,10000,1,9997,2
108,conv2_x.0.residual_function.3,"(49, 2, 2, 1)",30,10000,0,9720,280
109,conv2_x.0.residual_function.3,"(0, 45, 1, 1)",26,10000,0,9990,10
110,conv2_x.0.residual_function.3,"(28, 62, 0, 1)",27,10000,0,9999,1
111,conv2_x.0.residual_function.3,"(62, 3, 1, 1)",25,10000,76,9923,1
112,conv2_x.0.residual_function.3,"(21, 59, 0, 2)",1,10000,10000,0,0
113,conv2_x.1.residual_function.0,"(50, 3, 0, 2)",27,10000,0,9987,13
114,conv2_x.1.residual_function.0,"(17, 59, 0, 0)",16,10000,2241,7758,1
115,conv2_x.1.residual_function.0,"(48, 41, 0, 1)",20,10000,0,9998,2
116,conv2_x.1.residual_function.0,"(43, 48, 1, 1)",16,10000,21,9977,2
117,conv2_x.1.residual_function.0,"(10, 60, 0, 2)",3,10000,10000,0,0
118,conv2_x.1.residual_function.0,"(44, 28, 2, 0)",2,10000,10000,0,0
119,conv2_x.1.residual_function.0,"(3, 31, 0, 0)",9,10000,10000,0,0
120,conv2_x.1.residual_function.0,"(30, 16, 1, 2)",7,10000,10000,0,0
121,conv2_x.1.residual_function.0,"(27, 59, 2, 1)",23,10000,27,9970,3
122,conv2_x.1.residual_function.0,"(21, 14, 0, 1)",6,10000,10000,0,0
