Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
15362,layer3.2.conv2,"(60, 28, 0, 2)",3,12630,12630,0,0
15363,layer3.2.conv2,"(52, 40, 1, 0)",30,12630,0,692,11938
15364,layer3.2.conv2,"(24, 6, 0, 1)",21,12630,0,12630,0
15365,layer3.2.conv2,"(39, 46, 1, 0)",11,12630,12630,0,0
15366,layer3.2.conv2,"(32, 44, 1, 2)",0,12630,12630,0,0
15367,layer3.2.conv2,"(46, 28, 1, 0)",25,12630,4,12607,19
15368,layer3.2.conv2,"(41, 54, 2, 0)",20,12630,0,12630,0
15369,layer3.2.conv2,"(33, 1, 2, 2)",23,12630,141,12488,1
15370,layer3.2.conv2,"(20, 12, 1, 2)",30,12630,0,77,12553
15371,layer3.2.conv2,"(23, 55, 0, 0)",11,12630,12630,0,0
15372,layer3.2.conv2,"(29, 36, 2, 1)",30,12630,141,12406,83
15373,layer3.2.conv2,"(13, 38, 1, 1)",4,12630,12630,0,0
15374,layer3.2.conv2,"(56, 24, 0, 1)",19,12630,10,12620,0
15375,layer3.2.conv2,"(31, 3, 2, 1)",25,12630,0,12625,5
15376,layer3.2.conv2,"(49, 57, 2, 1)",0,12630,12630,0,0
15377,layer3.2.conv2,"(1, 12, 2, 2)",19,12630,29,12601,0
15378,layer3.2.conv2,"(59, 54, 1, 2)",23,12630,1,12629,0
15379,layer3.2.conv2,"(24, 44, 2, 1)",1,12630,12630,0,0
15380,layer3.2.conv2,"(56, 11, 0, 1)",3,12630,12630,0,0
15381,layer3.2.conv2,"(32, 60, 1, 1)",9,12630,12630,0,0
15382,layer3.2.conv2,"(3, 44, 1, 0)",11,12630,12630,0,0
15383,layer3.2.conv2,"(38, 58, 0, 2)",3,12630,12630,0,0
15384,layer3.2.conv2,"(24, 9, 2, 1)",15,12630,0,12630,0
15385,layer3.2.conv2,"(58, 13, 0, 1)",20,12630,1,12629,0
15386,layer3.2.conv2,"(23, 48, 0, 2)",25,12630,0,12616,14
15387,layer3.2.conv2,"(4, 3, 2, 1)",20,12630,125,12505,0
15388,layer3.2.conv2,"(7, 58, 2, 2)",29,12630,1,12629,0
15389,layer3.2.conv2,"(43, 18, 0, 0)",29,12630,5,12625,0
15390,layer3.2.conv2,"(1, 52, 1, 1)",28,12630,2,12628,0
15391,layer3.2.conv2,"(38, 8, 2, 2)",12,12630,0,12630,0
15392,layer3.2.conv2,"(1, 8, 1, 0)",27,12630,0,12628,2
15393,layer3.2.conv2,"(34, 16, 1, 0)",13,12630,20,12610,0
15394,layer3.2.conv2,"(55, 10, 2, 2)",6,12630,12630,0,0
15395,layer3.2.conv2,"(30, 40, 1, 2)",27,12630,0,12629,1
15396,layer3.2.conv2,"(46, 58, 0, 1)",9,12630,12630,0,0
15397,layer3.2.conv2,"(63, 14, 2, 2)",16,12630,747,11883,0
15398,layer3.2.conv2,"(14, 38, 1, 1)",11,12630,12630,0,0
15399,layer3.2.conv2,"(30, 4, 0, 1)",31,12630,25,12605,0
15400,layer3.2.conv2,"(7, 37, 1, 0)",27,12630,113,12515,2
15401,layer3.2.conv2,"(59, 61, 0, 2)",26,12630,506,12124,0
15402,layer3.2.conv2,"(35, 9, 2, 0)",16,12630,0,12630,0
15403,layer3.2.conv2,"(53, 6, 1, 2)",5,12630,12630,0,0
15404,layer3.2.conv2,"(19, 28, 1, 0)",9,12630,12630,0,0
15405,layer3.2.conv2,"(18, 3, 2, 2)",10,12630,12630,0,0
