Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
12475,layers.16.conv3,"(276, 44, 0, 0)",7,10000,10000,0,0
12476,layers.16.conv3,"(23, 29, 0, 0)",30,10000,10000,0,0
12477,layers.16.conv3,"(240, 411, 0, 0)",3,10000,8994,1006,0
12478,layers.16.conv3,"(91, 163, 0, 0)",15,10000,10000,0,0
12479,layers.16.conv3,"(220, 315, 0, 0)",10,10000,10000,0,0
12480,layers.16.conv3,"(69, 254, 0, 0)",11,10000,1272,8728,0
12481,layers.16.conv3,"(72, 30, 0, 0)",10,10000,10000,0,0
12482,layers.16.conv3,"(133, 344, 0, 0)",6,10000,10000,0,0
12483,layers.16.conv3,"(75, 758, 0, 0)",23,10000,10000,0,0
12484,layers.16.conv3,"(132, 832, 0, 0)",6,10000,10000,0,0
12485,layers.16.conv3,"(40, 905, 0, 0)",21,10000,10000,0,0
12486,layers.16.conv3,"(133, 356, 0, 0)",20,10000,310,9690,0
12487,layers.16.conv3,"(49, 455, 0, 0)",26,10000,10000,0,0
12488,layers.16.conv3,"(314, 573, 0, 0)",19,10000,9500,500,0
12489,layers.16.conv3,"(308, 331, 0, 0)",26,10000,10000,0,0
12490,layers.16.conv3,"(75, 523, 0, 0)",31,10000,8721,1279,0
12491,layers.16.conv3,"(78, 60, 0, 0)",18,10000,9902,98,0
12492,layers.16.conv3,"(100, 875, 0, 0)",6,10000,10000,0,0
12493,layers.16.conv3,"(153, 242, 0, 0)",18,10000,9712,288,0
12494,layers.16.conv3,"(231, 40, 0, 0)",7,10000,5623,4377,0
12495,layers.16.conv3,"(282, 579, 0, 0)",30,10000,10000,0,0
12496,layers.16.conv3,"(36, 61, 0, 0)",3,10000,6,9994,0
12497,layers.16.conv3,"(253, 98, 0, 0)",27,10000,6937,3063,0
12498,layers.16.conv3,"(129, 434, 0, 0)",29,10000,9672,328,0
12499,layers.16.conv3,"(263, 321, 0, 0)",6,10000,10000,0,0
12500,layers.16.conv3,"(72, 659, 0, 0)",2,10000,9433,567,0
12501,layers.16.conv3,"(172, 195, 0, 0)",4,10000,10000,0,0
12502,layers.16.conv3,"(259, 711, 0, 0)",16,10000,10000,0,0
12503,layers.16.conv3,"(92, 857, 0, 0)",14,10000,10000,0,0
12504,layers.16.conv3,"(291, 761, 0, 0)",12,10000,634,9366,0
12505,layers.16.conv3,"(118, 526, 0, 0)",16,10000,10000,0,0
12506,layers.16.conv3,"(46, 262, 0, 0)",26,10000,10000,0,0
12507,layers.16.conv3,"(312, 908, 0, 0)",7,10000,10000,0,0
12508,layers.16.conv3,"(4, 842, 0, 0)",13,10000,10000,0,0
12509,layers.16.conv3,"(72, 954, 0, 0)",24,10000,10000,0,0
12510,layers.16.conv3,"(186, 559, 0, 0)",12,10000,9989,11,0
12511,layers.16.conv3,"(114, 265, 0, 0)",14,10000,10000,0,0
12512,layers.16.conv3,"(152, 879, 0, 0)",4,10000,2291,7709,0
12513,layers.16.conv3,"(145, 448, 0, 0)",29,10000,10000,0,0
12514,layers.16.conv3,"(161, 878, 0, 0)",10,10000,0,10000,0
12515,layers.16.conv3,"(162, 86, 0, 0)",21,10000,8350,1650,0
12516,layers.16.conv3,"(214, 71, 0, 0)",5,10000,10000,0,0
12517,layers.16.conv3,"(90, 286, 0, 0)",7,10000,10000,0,0
12518,layers.16.conv3,"(297, 469, 0, 0)",30,10000,10000,0,0
12519,layers.16.conv3,"(204, 116, 0, 0)",3,10000,10000,0,0
12520,layers.16.conv3,"(116, 335, 0, 0)",2,10000,10000,0,0
12521,layers.16.conv3,"(170, 931, 0, 0)",7,10000,10000,0,0
12522,layers.16.conv3,"(229, 159, 0, 0)",17,10000,10000,0,0
12523,layers.16.conv3,"(28, 400, 0, 0)",16,10000,3893,6107,0
12524,layers.16.conv3,"(59, 232, 0, 0)",12,10000,5287,4713,0
